Time,Report,"Temperature ºC","Wind Speed km/h","Wind Gust km/h","Wind Direction º","Rainfall mm/h","Pressure hPa"
00:00,"""Cloudy""",7,20,0,225," 0.0 ",1013
01:00,"""Cloudy""",8,28,0,225," 0.0 ",1013
02:00,"""Rain shower""",7,17,46,270," 0.01 ",1013
03:00,"""Fair""",7,19,0,225," 0.0 ",1012
04:00,"""Cloudy""",8,28,0,225," 0.0 ",1013
05:00,"""Cloudy""",8,19,0,225," 0.0 ",1013
06:00,"""Cloudy""",8,19,0,225," 0.0 ",1013
07:00,"""Recent Drizzle """,8,20,0,225," 0.01 ",1013
08:00,"""Cloudy""",9,19,0,180," 0.0 ",1012
09:00,"""Cloudy""",9,33,0,225," 0.0 ",1012
10:00,"""Rain shower""",10,35,0,225," 0.01 ",1012
11:00,"""Rain shower""",10,37,0,225," 0.1 ",1012
12:00,"""Mist""",10,37,0,225," 0.0 ",1012
13:00,"""Mist""",11,48,63,225," 0.0 ",1011
14:00,"""Mist""",11,46,0,225," 0.0 ",1011
15:00,"""Light rain """,11,43,0,225," 0.01 ",1011
16:00,"""Rain shower""",11,39,0,225," 0.1 ",1011
17:00,"""Mist""",11,39,0,225," 0.1 ",1010
18:00,"""Mist""",11,41,59,225," 0.0 ",1010
19:00,"""Mist""",11,43,0,225," 0.0 ",1009
